authors,title,journal,link
"A. Awad, C. F. Chiasserini, A. Mohamed, Ali Jaoua, and R. Ward",In-network Data Processing and Classification for Improving Delivery of Wireless Seizure Monitoring Systems,"IEEE Intelligent Systems, Accepted, 2017.",
"Palangi, H., R. Ward, and L. Deng",Convolutional Deep Stacking Networks for Distributed Compressive Sensing,"Elsevier Signal Processing, vol. 131, pp. 181-189, ISSN. 1165-1684, February 2017.",
"Y. Liu, X. Chen, R. K. Ward, and Z. J. Wang",Image Fusion With Convolutional Sparse Representation,"IEEE Signal Processing Letters, vol. 23, no. 12, pp. 1882-1886, Dec. 2016.",
"A. Gogna, A. Majumdar and R. K. Ward",Semi-supervised Stacked Label Consistent Autoencoder for Reconstruction and Analysis of Biomedical Signals,"IEEE Transactions on Biomedical Engineering, vol. 64, no. 9, pp. 2196-2205. Nov. 2016.",
"Karimi, D. and R. Ward","Patch-based models and algorithms for image processing- a review of the basic principles and methods, and their application in computed tomography","International Journal of Computer Assisted Radiology and Surgery, Volume 11, Issue 10, pp 1765–1777, October 2016.",
"Palangi, H., R. Ward, and L. Deng",Distributed Compressive Sensing: A Deep Learning Approach,"IEEE Transactions on Signal Processing, vol. 64, no. 17, pp. 4504-4518, Sept. 2016.",
"Karimi, D., and R. Ward",Sinogram denoising via simultaneous sparse representation in learned dictionaries,"Physics in Medicine and Biology, vol. 61, no. 9, pp. 3536, April 2016.",
"Karimi, D. and R. Ward",Reducing streak artifacts in computed tomography via sparse representation in coupled dictionaries,"Medical Physics, Vol. 43(3), pp. 1473-1486, 2016.",
"Karimi, D., and R. Ward.",A hybrid stochastic-deterministic gradient descent algorithm for image reconstruction in cone-beam computed tomography,"Biomedical Physics and Engineering Express, Vol 2(1), pp. 015008, 2016.",
"Mahrous, H., and R. Ward, R.",Block Sparse Compressed Sensing of EEG Signals by exploiting Linear and Non-linear Dependencies,"Sensors, Vol. 16(2), pp. 201-216, 2016.",
"Karimi, D., and R. Ward, R.",A Sinogram Denoising Algorithm for Low-Dose Computed Tomography,"BMC Medical Imaging, Vol. 16(11), pp. 1-14, 2016.",
"Karimi, D., and R. Ward, R.",A Denoising Algorithm for Projection Measurements in Cone-Beam Computed Tomography,"Computers in Biology and Medicine,  Vol. 69, pp. 71-82, 2016.",
"Palangi, H., L. Deng, Y. Shen, J. Gao, X. He, J. Chen, X. Song, and R. Ward",Deep Sentence Embedding Using the Long Short-Term Memory Networks,"IEEE/ACM Transactions on Audio, Speech, and Language Processing, Volume: 24, Issue: 4, pp. 694-707, April 2016.",
"Karimi, D., and R. Ward, R.",On the computational implementation of forward and back‑projection operations for cone‑beam computed tomography,"Medical & Biological Engineering & Computing, accepted, Vol. 2015, pp. 1-12, 2015.",
"Bashashati, H., and R. Ward, R.",User-Customized Brain Computer Interfaces Using Bayesian Optimization,"Journal of Neural Engineering, Vol. 13(2) pp. 026001, 2015.",
"X. Chen, A. Liu, J. Chiang, Z.J. Wang, M.J. McKeown, R.K. Ward",Removing Muscle Artifacts from EEG Data: Multichannel or Single-Channel Techniques?,"IEEE Sensors Journal, Vol 16, No. 6, pp 1986-1997, November 2015.",
"Bashashati, H., Ward, R.K., Birch, G.E., and Bashashati A.",Comparing Different Classifiers in Sensory Motor Brain Computer Interfaces,"Plos One, Vol. 10(6), pp. e0129435.",
"Sheikhzadeh, F., Ward, R. K., Carraro, A., Chen, Z., van Niekerk, D., Miller, D., Ehlen, T., MacAulay, C., Follen, M., Lane, P., and Guillaud, M.",Quantification of confocal fluorescence microscopy for the detection of cervical interaepithelial neoplasia.,"BioMed Eng OnLine 14:96, 2015.",
"Fu, H., Xu, D., Zhang, B., Lin, S., and  Ward, R. K.",Object-based Multiple Foreground Video Co-segmentation via Multi-state Selection Graph,"IEEE Trans on Image Processing, Vol. 24, issue 11, pp. 3415-3424, June 2015.",
"Majumdar, A., and Ward, R. K.",Energy Efficient EEG Sensing and Transmission for Wireless Body Area Networks: A Blind Compressed Sensing Approach,"Biomedical Signal Processing and Control, Vol. 20, pp. 1-9, 2015.",
"Guha, T., Nezhadarya, E., and Ward, R. K.",Sparse Representation-based Image Quality Assessment,"Signal Processing: Image Communication, Vol. 29 (10), pp. 1138–1148, 2014.",
"Majumdar, A., and Ward, R. K.",Exploiting Sparsity and Rank Deficiency for MR Image Reconstruction from Multiple Partial K-Space Scans,"Canadian Journal of Electrical and Computer Engineering, Vol. 37(4), pp. 228-235, 2014.",
"Nezhadarya, E. and Ward, R. K.",Multiscale Derivative Transform and Its Application to Image Watermarking,"Digital Signal Processing, Vol. 33, pp. 148-155, 2014.",
"Guha, T., and Ward, R.K.",Image Similarity Using Sparse Representation and Compression Distance,"IEEE Transactions on Multimedia, Vol. 16 (4), pp. 980-987, 2014.",
"Chen, X., Liu, A., Peng, H., and Ward, R.",A Preliminary Study of Muscular Artifact Cancellation in Single-Channel EEG,"Sensors, 14(10), pp. 18370-18389, 2014.",
"Majumdar, A., Anupriya, G., and Ward, R. K.",A Low-Rank Matrix Recovery Approach for Energy Efficient EEG Acquisition for a Wireless Body Area Network,"Sensors, Vol. 14(9), pp. 15729-15748, 2014.",
"Majumdar, A., and Ward, R. K.",Non-convex row-sparse multiple measurement vector analysis prior formulation for EEG signal reconstruction,"Biomedical Signal Processing and Control, Vol. 13, pp. 142-147, 2014.",
"Vahedi, E., Ward R. K., and Blake, I. F.",Performance analysis of RFID protocols: CDMA vs. the standard EPC Gen2,"IEEE Transactions on Automation Sciences and Engineering, Vol. PP(9), pp. 1-12, January 2014.",
"Malekesmaeili, M., and Ward, R. K.",A Local Fingerprinting Approach for Audio Copy Detection,"Signal Processing, Vol. 98, pp. 308-321, May 2014.",
"Chiang J. and Ward, R.K.",Energy-Efficient Data Reduction Techniques for Wireless Seizure Detection Systems,"Sensors (Special Issue on Sensors for Globalized Healthy Living and Wellbeing), Vol. 14(2), pp. 2036-2051, January 2014.",
"Fauvel, S. and Ward, R.K.",An Energy Efficient Compressed Sensing Framework for the Compression of Electroencephalogram Signals,"Sensors (Special Issue on Sensors for Globalized Healthy Living and Wellbeing), Vol. 14(1), pp. 1474-1496, January 2014.",
"Majumdar, A., K. Chaudhury, and Ward, R. K.",Calibrationless Parallel magnetic resonance imaging: a joint sparsity model,"Sensors (Special issue on  Magnetic Resonance Sensors), 13(12), 16714-16735, 2013.",
"Nezhadarya, E., and Ward, R. K.",Semi-blind Quality Estimation of Compressed Videos Using Digital Watermarking,"Digital Signal Processing, Vol. 23(5), pp. 1483-1495, September 2013.",
"Mai, Z., Mansour, H., Nasiopoulos, P., and Ward, R. K.",Visually favorable tone-mapping with high-compression performance in bit-depth scalable video coding,"IEEE Trans. Multimedia, Vol. 15(7), pp. 1503-1518, November 2013.",
"Chen, X., Chen, X., Ward, R. K., and Wang, Z. J.",A Joint Multimodal Group Analysis Framework for Modeling Corticomuscular Activity,"IEEE Trans. Multimedia, Vol. 15(5), pp. 1049-1059, August 2013.",
"Majumdar, A., Ward, R. K. and Aboulnasr, T.",Non-Convex Algorithm for Sparse and Low-Rank Recovery: Application to Dynamic MRI Reconstruction,"Magnetic Resonance Imaging, vol. 31 (3), pp. 448 – 455, Mar 2013.",
"Majumdar, A., Ward, R. K.",Rank Awareness in Group-Sparse Recovery of Multi-Echo MR Images,"Sensors (Special Issue on Medical and Biomedical Imaging), vol. 13, no. 3, pp. 3902-3921, Mar 2013.",
"Majumdar, A., Ward, R. K., and Aboulnasr, T.",Algorithms to Approximately Solve NP Hard Row-Sparse MMV Recovery Problem: Application to Compressive Color Imaging,"IEEE Journal on Emerging and Selected Topics in Circuits and Systems, (Special issue on Circuits, Systems and Algorithms for Compressive Sensing) Vol. 2 (3), pp. 362-369. Jan 2013.",
"Malekesmaeili, M., Fatourechi, M., and Ward, R. K.",Fast Approximate Nearest Neighbor Search Algorithm in Hamming Space,"IEEE Trans. Pattern Analysis and Machine Intelligence, Vol. 34(12), pp. 2481-2488, December 2012.",
"Majumdar, A., Ward, R. K., and Aboulnasr, T.",Compressed Sensing Based Near Real-Time Online Dynamic MRI Reconstruction,"IEEE Trans. Medical Imaging, Vol. 31 (2), pp. 2253 – 2266, Dec 2012.",
"Majumdar, A., and Ward, R. K.",Causal dynamic MRI reconstruction via nuclear norm minimization,"Magnetic Resonance Imaging, Vol. 30(10), 1483-94, pp. Dec 2012.",
"Majumdar, A.,  and Ward, R. K",Iterative Estimation of MRI Sensitivity Maps and Image Based on Sense Reconstruction Method (iSENSE),"Concepts in Magnetic Resonance Part A, Vol. 40 (6), pp. 269-280, Nov 2012.",
"Majumdar, A., and Ward, R. K.",Calibration-less Multi-coil MR Image Reconstruction,"Elsevier Magnetic Resonance Imaging, vol. 30(7), pp. 1032-45, Sep 2012.",
"Mai, Z., Doutre, C., Nasiopoulos, P., and Ward, R. K.",Rendering 3D High Dynamic Range Images: Subjective Evaluation of Tone-Mapping Methods and Preferred 3D Image Attributes,"Journal of Selected Topics in Signal Processing, vol.6, no.5, pp. 597-610, Sep 2012.",
"Majumdar, A., and Ward, R. K.",On the choice of Compressed Sensing Priors and Sparsifying Transforms for MR Image Reconstruction: An experimental study,"Signal Processing: Image Communication, vol. 27 (9), pp. 1035–1048, Aug 2012.",
"Yong, X., Fatourechi, M., Ward, R. K., and Birch, G.",Automatic Artifact Removal in a Self-paced Hybrid Brain-Computer Interface System,"Journal of Neuroengineering and Rehabilitation, vol. 9, no. 50, pp. 1-20, Aug 2012.",
"Guha, T., and Ward, R. K.",Learning Sparse Representations for Human Action Recognition,"IEEE Trans. Pattern Analysis and Machine Intelligence, vol. 34, issue 8, pp. 1576-1588, Aug 2012.",
"Majumdar, A., and Ward R., K.",Nuclear Norm Regularized SENSE Reconstruction,"Elsevier Magnetic Resonance Imaging, vol. 30, issue 2, pp. 213 – 221, Feb 2012.",
"Majumdar, A., and Ward, R. K.",Exploiting Rank Deficiency and Transform Domain Sparsity for MR Image Reconstruction,"Elsevier Magnetic Resonance Imaging, Jan 30(1), pp. 9 -18, Jan 2012.",
"Yong, X., Fatourechi, M., Ward, R. K. and Birch, G. E.",The Design of A Point-and-Click System by Integrating A Self-Paced BCI with An Eye-Tracker,"IEEE JETCAS Special Issue on Brain Machine Interface, vol. 1, no. 4, pp. 590-602, Dec 2011.",
"Nezhadarya, E., Wang, J. Z., and Ward, R. K.",Robust Image Watermarking Based on Multiscale Gradient Direction Quantization,"IEEE Trans. Information Forensics and Security, vol 6, no 4, pp. 1200-1213, Dec 2011.",
"Vahedi, E., Ward, R. K, Shah-Mansouri, V., Wong, W.S. and Blake, I. F.",On securing RFIDs against blocking attacks,"IEEE MMTC Letter (invited paper), vol. 2, no. 6, pp. 16-18, Dec 2011.",
"Majumdar, A., and Ward, R. K.",Joint Reconstruction of Multi-echo MR Images Using Correlated Sparsity,"Elsevier Magnetic Resonance Imaging, vol. 29, issue 7, Sep 2011.",
"Vahedi, E., Shah-Mansouri, V.,  Wong, V. W. S., Blake, I. F., and Ward, R. K.",Probabilistic Analysis of Blocking Attack in RFID Systems,"IEEE Trans. Information Forensics and Security, vol. 6, no. 3, pp. 803-817, Sep 2011.",
"Nezhadarya E., and Ward, R. K.",A New Approach to Robust Gradient Estimation in Color Images,"IEEE Trans. Image Processing, vol. 20, no. 8, pp. 2211-2220, Aug. 2011.",
"Vahedi, E., Wong, V. W. S., Blake, I. F and Ward, R. K.",Probabilistic Analysis and Correction of Chen's Tag Estimate Method,"IEEE Trans. Automation Science and Engineering, vol. 8, no. 3, pp. 659-663, Jul 2011.",
"Faradji, F., Ward, R. K., and Birch, G. E.",Towards Development of a 2-State Brain-Computer Interface Based on Mental Tasks,"Journal of Neural Engineering, vol. 8, no. 4, 046014 (9pp), Jun 2011.",
"Mai, Z., Mansour, H., Mantiuk, R., Nasiopoulos, P., Ward, R. K., and Heidrich W.",Optimizing a Tone Curve for Backward-Compatible High Dynamic Range Image/Video Compression,"IEEE Trans. Image Processing, vol. 20, no. 6, pp. 1558-1571, Jun 2011.",
"Majumdar, A., and Ward, R. K.",Some empirical advances in matrix completion,"Signal Processing, vol. 91, issue 5, pp. 1334-1338, May 2011.",
"Majumdar, A., and Ward, R. K.",Accelerating Multi-echo T2 Weighted MR Imaging: Analysis Prior Group Sparse Optimization,"Journal Of Magnetic Resonance Vol. 210 (1), pp. 90-97, May 2011.",
"Majumdar, A., and Ward, R. K.",Increasing energy efficiency in sensor networks: Blue noise sampling and non-convex matrix completion,"International Journal of Sensor Networks, vol 9 (3/4), pp. 158-169, May 2011.",
"Majumdar, A., and Ward, R. K.",An Algorithm for Sparse MRI Reconstruction by Schatten p-norm Minimization,"Elsevier Magnetic Resonance Imaging, vol. 29(3), pp. 408 - 417, Apr 2011.",
"Malekesmaeili, M., Fatourechi, M., and Ward, R. K.",A Robust and Fast Video Copy Detection System using Content Based Fingerprinting,"IEEE Trans. Information Forensics and Security, vol 6, no. 1, pp. 213 – 226, Mar 2011.",
"Majumdar, A. and Ward, R. K.",Compressed Sensing of Color Images,"Signal Processing, vol. 90 (12), 3122-3127, Dec 2010.",
"Majumdar, A., and Ward, R. K.",Robust Classifiers for Data Reduced via Random Projections,"IEEE Trans. Systems, Man and Cybernetics Part:B, Vol. 40, No. 5, pp. 1359 – 1371, Oct 2010.",
"Majumdar, A. and Ward R. K.",Fast Group Sparse Classifier,"IEEE Canadian Journal for Electrical and Computer Engineering, vol. 34, issue 4, pp. 136-144, Oct 2010.",
"Majumdar, A., and Ward, R. K.",Improved Group Sparse Classifier,"Pattern Recognition Letters, Vol. 31 (13), pp. 1959-1964, Oct 2010.",
"Du, S., and Ward, R.K.",Adaptive Region-Based Image Enhancement Method for Robust Face Recognition under Variable Illumination Conditions,"IEEE Trans. Circuits and Systems for Video Technology, Vol. 20 , No. 9, pp 1165 - 1175, Sept 2010.",
"Majzoub, S., Saleh, R., Wilton, S. J. E and Ward, R. K.",Energy Optimization for Many-Core Platforms: Communication and PVT Aware Voltage-Island Formation and Voltage Selection Algorithm,"IEEE Trans. Compter Aided Design, vol. 29, issue 5, pp. 816-829, May 2010.",
"Pourazad, M. T., Nasiopoulos, P., and Ward, R. K.",Generating the Depth Map from the Motion Information of H.264-Encoded 2D Video Sequence,"EURASIP Journal on Image and Video Processing, vol. 2010, Article ID 108584, 13 pages, March 2010. ",https://doi.org/10.1155/2010/108584
"Ersahin, K., Cumming, I. G., and Ward., R. K.",Segmentation and Classification of Polarimetric SAR Data Using Spectral Graph Partitioning,"IEEE Trans. Geoscience and Remote Sensing, Volume: 48, Issue: 1, Part: 1, pp. 164 – 174, Jan 2010.",
"Du, S., and Ward, R.K.",Improved Face Representation by Non-Uniform Multi-Level Selection of Gabor Convolution Features,"IEEE Trans.Systems, Man and Cybernetics, Part B, Vol 39, Issue 6, pp. 1408 – 1419, Dec 2009.",
"Majumdar, A., and Ward, R. K.",Non-convex Compressed Sensing from Noisy Measurements,"The Open Signal Processing Journal, Vol. 2, pp. 40-44, Oct 2009.",
"Majumdar, A. and Ward, R. K.",Group Sparse Classifier,"MASAUM Journal of Basic and Applied Sciences, Vol. 1, No. 3, pp. 483-492, Oct 2009.",
"Faradji,F., Ward, R.K., and Birch, G. E.",Plausibility Assessment of a 2-State Self-Paced Mental Task-Based BCI Using the No-Control Performance Analysis,"Journal of Neuroscience Methods, Vol.180, No.2, pp. 330 – 339, June 2009.",
"Pourazad, M. T.,  Nasiopoulos, P., and Ward, R. K.",An H.264-based Scheme for 2D to 3D Video Conversion,"IEEE Trans. Consumer Electronics, Vol. 55, No. 2, pp 742-748, May 2009.",
"Sameti, M., Ward, R. K., Morgan-Parkes, J., and Palcic, B.",Image feature extraction in the last screening mammograms prior to detection of breast cancer,"IEEE Journal of Selected Topics in Signal Processing, Vol. 3, No.1, pp. 46-52, Feb 2009.",
"Coria, L.E., Pickering, M., Nasiopoulos, P., and Ward, R.K.",A Video Watermarking Scheme Based on the Dual-Tree Complex Wavelet Transform,"IEEE Trans. Information Forensics and Security, Vol.3, No.3, pp.466-474, Sep 2008.",
"Mai, A., Nasiopoulos, P., Ward, R.K., and Infante, S.",Real-Time DVB-MHP to Blu-ray System Information Transcoding,"IEEE Trans. on Consumer Electronics, Vol.54, No.2, pp.639-647, May 2008.",
"Fatourechi, M., Birch, G.E., Ward, R.K.",Performance of a Self-paced Brain Computer Interface on Data Contaminated with Eye Blinks and on Data Recorded in Subsequent Sessions,"J Computational Intelligence & Neuroscience , Vol.2008,  13 pages, May 2008.",
"Tang, Q., Nasiopoulos, P., and Ward, R.K.",Compensation of Re-quantization and Interpolation Errors in MPEG-2 to H.264 Transcoding,"IEEE Trans. on Circuit and System on Video Technology, Vol.18, No.3, pp.314-325, March 2008.",
"Fatourechi, M., Birch, G.E., Ward, R.K.",A Self-paced Brain Interface System with Low False Positive Rate,"Journal of Neural Engineering“,Vol.5, pp.9-23, March 2008.",
"Coria, L. E., Nasiopoulos, P., Ward, R. K., and Pickering, M.",An Access Control Video Watermarking Method that is Robust to Geometric Distortions,"Journal of Information Assurance and Security, Vol.2, No.4, pp.266-274, Dec 2007.",
"Bashashati, A., Ward, R.K., and Birch, G.E.",Towards Development of a 3-State Self-Paced Brain Interface Based on Hand Extension Movements,"J Computational Intelligence & Neuroscience, Vol. 2007, pp.1-8, Oct 2007.",
"Xiao, Y., Ma, L., and Ward, R. K.",Fast RLS Fourier Analyzers Capable of Accommodating Frequency Mistmatch,"Signal Processing, Vol. 87, No.9, pp.2197-2212, Sep 2007.",
"Fatourechi, M., Birch, G.E., and Ward, R.K.",A Self-paced Brain Interface System that Uses Movement Related Potentials and Changes in the Power of Brain Rhythms,"Journal of Computational Neuroscience, Vol.23, No.1, Aug 2007.",
"Bashashati, A., Noureddin, B., Ward, R.K., Lawrence, P., and Birch, G.E.",Effects of Eye Blinks on the Performance of Neil Squire Society's Self-paced Brain Interface,"Clinical Neurophysiology, Vol.118, No.7,  pp.1639-1647, July 2007.",
"Bashashati, A., Fatourechi, M., Ward, R.K., and Birch, G.E.",A Survey of Signal Processing Algorithms in Brain Interfaces,"Journal of Neural Engineering, Vol. 4, No. 2, pp. R35-57, June  2007.",
"Wang, Q. and Ward, R.K.",Fast Image/Video Contrast Enhancement Based on Weighted Thresholded Histogram Equalization,"IEEE Trans. on Consumer Electronics, Vol.53, No.2, May 2007, pp.757-764.",
"Fatourechi, M., Birch, G.E., and Ward, R.K.",Application of a Hybrid Wavelet Feature Selection Method in the Design of a Self-Paced Brain Interface System,"Jour. of NeuroEngineering and Rehabilitation, Vol.4, No.1, April 2007.",
"Wang, Q. and Ward, R.K.",A New Orientation-Adaptive Interpolation Method,"IEEE Trans. On Image Processing, Vol. 16, No. 4, April 2007, pp 889 -900.",
"Bashashati, A., Mason, S.G., Borisoff, J., Ward, R.K., and Birch, G.E.",A Comparative Study on Generating Training-Data for Self-Paced Brain Interfaces,"IEEE Trans. Neural Systems and Rehabilitation, Vol.15, No.1, March 2007, pp.59-66.",
"Fatourechi, M., Bashashati, A., Ward, R.K., and Birch, G.E.",EOG and EMG Artifacts in Brain Interface Systems: A Survey,"Clinical Neurophysiology, Vol.118, No.3, March 2007, pp.480-494 (Invited paper).",
